Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item,Claim Amount,Status,Close Amount,Disposition,Day Differences,Amount Differences
2006042405011,2006-04-18 00:00:00,2006-04-03 00:00:00,BQN,Rafael Hernandez,Jet Blue,Passenger Property Loss,Checked Baggage,Stereo Items & Accessories,473.27,Settled,213.78,Settle,15.0,259.49
2007011218757,2007-01-08 00:00:00,2006-12-28 00:00:00,SAN,San Diego International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Cameras - Digital,400.0,Settled,147.5,Settle,11.0,252.5
2007020620370,2007-01-30 00:00:00,2007-01-26 00:00:00,LAS,McCarran International,Allegiant Air,Passenger Property Loss,Checked Baggage,Cameras - Digital,439.85,Denied,0.0,Deny,4.0,439.85
2005110195468,2005-10-25 00:00:00,2005-10-06 00:00:00,BTV,Burlington; VT,Delta Air Lines,Passenger Property Loss,Checked Baggage,Jewelry - Fine,550.0,Denied,0.0,Deny,19.0,550.0
2006101714097,2006-10-10 00:00:00,2006-10-01 00:00:00,DFW,Dallas-Fort Worth International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Locks; Other,95.0,Settled,35.0,Settle,9.0,60.0
2007120536070,2007-12-04 00:00:00,2007-11-22 00:00:00,JFK,John F. Kennedy International,Jet Blue,Passenger Property Loss,Checked Baggage,Cameras - Digital; GPS - Global Positioning System; Other,535.98,Denied,0.0,Deny,12.0,535.98
2005030777080,2005-02-01 00:00:00,2005-12-15 00:00:00,RSW,Southwest Florida International,American Eagle,Passenger Property Loss,Checked Baggage,Jewelry - Fine,299.31,Denied,0.0,Deny,-317.0,299.31
2009012354843,2009-03-12 00:00:00,2009-01-04 00:00:00,OMA,Eppley Airfield,Southwest Airlines,Passenger Property Loss,Checked Baggage,Locks,10.0,Denied,0.0,Deny,67.0,10.0
2005082391234,2005-08-16 00:00:00,2005-07-13 00:00:00,SEA,Seattle-Tacoma International,Frontier Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,86.99,Approved,86.99,Approve in Full,34.0,0.0
2006012099915,2006-01-12 00:00:00,2005-12-25 00:00:00,PHX,Phoenix Sky Harbor International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Locks,21.61,Denied,0.0,Deny,18.0,21.61
2008052744857,2008-05-21 00:00:00,2008-04-14 00:00:00,PBI,Palm Beach International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,106.49,Denied,0.0,Deny,37.0,106.49
0328032L,2003-03-28 00:00:00,2003-02-22 00:00:00,PBI,Palm Beach International,Southwest Airlines,Property Damage,Checked Baggage,Locks,10.0,Approved,10.0,Approve in Full,34.0,0.0
2006070609072,2006-07-06 00:00:00,2006-06-29 00:00:00,PHL,Philadelphia International Airport,USAir,Passenger Property Loss,Checked Baggage,Cameras - Digital,750.0,Denied,0.0,Deny,7.0,750.0
2009111265317,2009-11-03 00:00:00,2009-10-25 11:23:00,MCO,Orlando International Airport,AirTran Airlines,Passenger Property Loss,Checked Baggage,Locks,15.81,Denied,0.0,Deny,8.0,15.81
2007091432005,2007-09-12 00:00:00,2007-09-04 00:00:00,MSP,Minneapolis/ St.Paul International Airport,Northwest Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),610.0,Settled,500.0,Settle,8.0,110.0
2004122069525,2004-11-04 00:00:00,2004-08-13 00:00:00,STL,Lambert St. Louis International,American Airlines,Property Damage,Checked Baggage,Other,300.0,Denied,0.0,Deny,83.0,300.0
2005032980242,2005-03-16 00:00:00,2005-03-06 00:00:00,RDU,Raleigh-Durham International,Delta Air Lines,Passenger Property Loss,Checked Baggage,Cameras - Digital,199.99,Settled,50.0,Settle,10.0,149.99
2005113096728,2005-11-09 00:00:00,2005-09-19 00:00:00,CRP,Corpus Christi International,Continental Airlines,Passenger Property Loss,Checked Baggage,Other,300.0,Denied,0.0,Deny,51.0,300.0
2004071259068,2004-06-22 00:00:00,2004-04-25 00:00:00,SJC,Norman Y Mineta San Jose International,American Airlines,Passenger Property Loss,Checked Baggage,Jewelry - Fine,244.3,Approved,244.3,Approve in Full,58.0,0.0
2006021001396,2006-02-07 00:00:00,2006-02-03 00:00:00,HSV,Huntsville International Airport,Delta Air Lines,Property Damage,Checked Baggage,Luggage (all types including footlockers),43.24,Approved,43.24,Approve in Full,4.0,0.0
2008072847545,2008-07-22 00:00:00,2008-07-13 00:00:00,BDL,Bradley International Airport,Virgin Atlantic,Property Damage,Checkpoint,Dishes; Pottery; Glassware; Plasticware,380.0,Approved,380.0,Approve in Full,9.0,0.0
2005091492431,2005-09-01 00:00:00,2005-08-09 00:00:00,SDF,Louisville International,Northwest Airlines,Passenger Property Loss,Checkpoint,Cameras - Digital,207.0,Denied,0.0,Deny,23.0,207.0
2008080848293,2008-08-05 00:00:00,2008-07-30 00:00:00,RIC,Richmond International,UAL,Property Damage,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,163.0,Denied,0.0,Deny,6.0,163.0
2006020100747,2006-01-25 00:00:00,2005-12-22 00:00:00,LNK,Lincoln Municipal,Northwest Airlines,Property Damage,Checked Baggage,Other,79.99,Settled,50.0,Settle,34.0,29.989999999999995
2004090261913,2004-08-10 00:00:00,2004-07-12 00:00:00,ONT,Ontario International,Southwest Airlines,Property Damage,Checked Baggage,Other,200.0,Denied,0.0,Deny,29.0,200.0
2007091431991,2007-09-10 00:00:00,2007-08-12 00:00:00,OAK,Metropolitan Oakland International,USAir,Property Damage,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,80.0,Denied,0.0,Deny,29.0,80.0
2004092864061,2004-09-09 00:00:00,2004-07-08 00:00:00,COS,Colorado Springs Municipal,UAL,Passenger Property Loss,Checked Baggage,Other,185.0,Approved,185.0,Approve in Full,63.0,0.0
2006012400279,2006-01-18 00:00:00,2005-12-07 00:00:00,PHL,Philadelphia International Airport,Northwest Airlines,Passenger Property Loss,Checked Baggage,Locks,7.7,Denied,0.0,Deny,42.0,7.7
